ce_1,ce_2
0.5953393,2.0760913
0.19081879,15.050259
4.4217186,8.62569
1.944335,12.012539
-0.43033028,16.39262
-0.32489777,16.28082
-0.683064,16.851175
3.5417252,9.696148
-0.057136536,16.001959
-0.4040184,16.16591
2.627409,10.972455
0.073848724,15.494537
0.21281242,15.052509
0.13602638,14.908672
0.42396164,14.539528
0.92401886,13.66907
2.375349,11.637547
4.918228,8.076945
3.5112734,10.152853
0.18232155,15.081909
2.8376331,10.889861
2.2460728,11.6545315
0.6888373,1.828505
3.9367542,9.461735
1.3022556,13.05669
-0.72872925,17.198376
0.7000513,14.0185375
0.21405792,15.045681
-0.72851944,16.963148
0.047599792,15.332369
4.844241,8.258899
-0.21463251,15.741964
1.6733665,12.405592
2.0857024,11.901115
0.7878189,13.874847
-0.06794739,15.536791
0.7029066,2.0867262
-0.44062042,16.570118
-0.48789644,16.78217
-0.20721436,16.01038
1.3911095,13.00608
0.4227066,14.675379
1.6938744,12.435378
0.10895264,3.097476
3.9061646,9.732007
-0.34942436,16.253448
4.0066414,9.333212
5.891468,6.0654373
-0.2933216,16.33482
0.23260069,14.940981
1.0770731,13.349599
-0.37147522,16.30483
3.3342152,10.4028225
4.520452,8.911438
-0.33442307,16.09896
4.8686666,8.611237
0.60326576,14.236971
1.9139786,12.033281
2.1313152,11.803949
-0.06549072,15.628241
0.13163185,15.262489
1.7347336,12.234276
0.67772293,14.013812
0.43925285,14.679675
-0.074697495,15.683355
0.2789173,14.778068
-0.33330727,15.998369
2.0692635,11.82729
1.3454819,12.918631
-0.11086273,15.680746
-0.38858414,16.332596
0.87135696,13.7307625
0.5650692,14.3241005
-0.2236042,15.909876
0.4388342,14.69491
-0.33568573,16.474365
5.601944,6.7828693
-0.35601616,16.376534
0.62862206,14.27141
3.6673918,10.054596
2.0946732,11.80187
5.9224167,5.789345
-0.6390314,17.202072
0.09815121,15.303032
2.1003122,11.953019
-0.77062607,17.288866
6.539693,3.9351065
-0.27677917,16.093353
-0.24820614,16.158691
-0.29027033,16.450626
0.72249603,13.97928
-0.8763733,17.519152
1.6879578,12.359432
0.30779266,14.87528
1.6571922,12.468693
-0.33445358,16.05343
3.5643272,9.954586
0.08905125,15.347013
-0.73277473,17.383106
